Left IR Distance (X),Left IR Distance (Y),Left IR Reading,Right IR Distance (X),,Right IR Distance (Y),Right IR Reading
0,50,46,-9.2,0,50,14
0,40,65,-9.2,0,40,15
0,30,88,-9.2,0,30,17
0,25,99,-9.2,0,25,14
0,20,121,-9.2,0,20,15
0,15,141,-9.2,0,15,16
0,10,179,-9.2,0,10,19
0,5,206,-9.2,0,5,23
-9.2,40,16,-18.5,-9.3,40,41
-9.2,30,16,-18.5,-9.3,30,56
-9.2,25,20,-18.5,-9.3,25,75
-9.2,20,20,-18.5,-9.3,20,89
-9.2,15,24,-18.5,-9.3,15,106
-9.2,10,29,-18.5,-9.3,10,139
-9.2,5,37,-18.5,-9.3,5,235
-20,0,0,-29.2,-20,0,0
-25,0,0,-34.2,-25,0,0
-30,0,0,-39.2,-30,0,0
-35,0,0,-44.2,-35,0,0
-40,0,0,-49.2,-40,0,0
10,0,2,0.8,10,0,0
15,0,0,5.8,15,0,0
20,0,1,10.8,20,0,0
25,0,0,15.8,25,0,0
30,0,0,20.8,30,0,0
35,0,0,25.8,35,0,0
-5,20,71,-14.2,-5,20,48
-10,20,18,-19.2,-10,20,86
-15,20,8,-24.2,-15,20,27
-25,20,2,-34.2,-25,20,7
5,40,29,-4.2,5,40,3
10,40,10,0.8,10,40,2
15,40,2,5.8,15,40,1
20,40,0,10.8,20,40,0
25,40,1,15.8,25,40,0
-5,40,47,-14.2,-5,40,32
-10,40,23,-19.2,-10,40,40
-15,40,8,-24.2,-15,40,21
-20,40,2,-29.2,-20,40,6
-25,40,1,-34.2,-25,40,3
